method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9868342803106407
varimax,wop,axis2,0.9081969220831735
varimax,wop,axis3,0.9797867206612743
varimax,matchalign,axis1,0.9749667139857074
varimax,matchalign,axis2,0.9931538117150905
varimax,matchalign,axis3,0.9998848195188147
varimax,promax,axis1,0.9801382148474203
varimax,promax,axis2,0.9885441155576655
varimax,promax,axis3,0.9952856685751587
wop,matchalign,axis1,0.9963016724435185
wop,matchalign,axis2,0.9818403861447479
wop,matchalign,axis3,0.8887526631957333
wop,promax,axis1,0.9364655282945322
wop,promax,axis2,0.9899793296359742
wop,promax,axis3,0.9282601445490619
matchalign,promax,axis1,0.9135399122225901
matchalign,promax,axis2,0.9956734768353749
matchalign,promax,axis3,0.9649399819016397
