axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.2665434863869196,-3.2392770888542946,4.65432218754893
axis1,ARC-AGI,Core AGI Progress,2.0295773379805517,-1.8097192907038802,3.0975576481061933
axis1,FrontierMath Tier 4,High End Math Reasoning,1.7331518570697195,-2.402364100154381,3.2283250247179502
axis1,Cybench,Agentic Computer Use,1.6681050449915182,-2.356040533303186,3.154133611801702
axis1,GSO-Bench,Autonomous SWE,1.4169133778509564,-2.035631778795154,2.559749473682473
axis1,Aider Polyglot,Autonomous SWE,1.4079959727061016,-2.2319163207027217,2.182910650625506
axis1,TerminalBench,Agentic Computer Use,1.2900011469370196,-1.523666881831146,2.071281872476304
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.2374369900007944,-2.265001300323642,4.032798932115631
axis1,CritPt,Domain Specific Questions,1.1092927344064432,-1.8179260615489716,2.7919030984357893
axis1,APEX Agents,Core AGI Progress,0.9924012726383222,-1.402005695474728,2.227955229841361
axis1,The Agent Company,Agentic Computer Use,0.9757581145630325,-1.8787761277967316,2.709709207893862
axis1,Chess Puzzles,General Reasoning,0.9741975408155359,-1.8604387073610076,3.5300407679606343
axis1,CAD-Eval,Multimodal Understanding,0.9724126586953024,-1.4873205818596522,1.9650111461933832
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.9587608116638993,-1.5567250674340374,2.01308282589752
axis1,ExploitBench,Agentic Computer Use,0.9178301275728125,-2.1620795553503194,2.2450861678550083
axis1,OS World 2,Agentic Computer Use,0.881146401615722,-2.0786571936556903,2.2005660009979806
axis1,FrontierCode,Autonomous SWE,0.8127551017517278,-2.109336972612741,2.211611360229127
axis1,CursorBench,Autonomous SWE,0.8115744472454716,-1.1322638936277574,1.5411547385825943
axis1,Remote Labor Index,Core AGI Progress,0.7853466866739348,-1.7523246239487482,1.9959260377622343
axis1,OS World (Screenshot),Agentic Computer Use,0.7450901064913619,-2.3730500212555743,2.659889932391191
axis1,PostTrainBench,Autonomous SWE,0.7404624017764214,-1.4511931374490001,1.45874275864933
axis1,SWE-Bench Pro,Autonomous SWE,0.724794145800923,-1.4027626744224013,1.663750544016467
axis1,EnigmaEval,General Reasoning,0.7008510702569453,-1.0383462260415197,2.0491009540905183
axis1,MATH Level 5,High End Math Reasoning,0.6915803995688211,-1.697647992545822,3.331312668883208
axis1,VisualToolBench,Multimodal Understanding,0.674981069568545,-1.1037601284256426,2.3855157634209037
axis1,MultiNRC,Advanced Language and Writing,0.6734866967794676,-0.8203025394405681,1.6447798312438537
axis1,SimpleBench,General Reasoning,0.663080525008388,-0.28357099866183444,1.153573573548721
axis1,Humanity's Last Exam,Domain Specific Questions,0.6594776893326679,-0.8333957097675213,2.0241420529852507
axis1,SWE-Bench Verified,Autonomous SWE,0.6481191716494479,-1.0281267942606065,1.1333198201416772
axis1,WeirdML,Autonomous SWE,0.6394179624592053,-0.7730827928615936,1.2180418502080683
axis1,FrontierMath,High End Math Reasoning,0.6367093977016983,-1.4445001888260571,2.4341725119436926
axis1,Fiction.LiveBench,Advanced Language and Writing,0.613399167074467,-1.1636559065345606,2.8710775481585764
axis1,METR Time Horizons,Autonomous SWE,0.5874904959880474,-1.0587563171522292,0.9862747322414995
axis1,MCP Atlas,Agentic Computer Use,0.5620580403195339,-0.9140865646693715,1.2842748977045866
axis1,CL-Bench Life,Domain Specific Questions,0.4805106285413441,-1.1169293802229514,1.2490045827628355
axis1,GPQA Diamond Chemistry,Chemistry,0.4561891830739965,-1.2555925256058746,1.6796337167167292
axis1,SimpleQA Verified,Domain Specific Questions,0.4401271918638999,-0.9662827634989595,1.6454068513730298
axis1,GPQA Main Chemistry,Chemistry,0.33706008642082164,-0.8013936528876556,1.3694521187566346
axis1,LiveBench,Core AGI Progress,0.300691591717141,-0.6480938381478787,0.9770390965981217
axis1,CL-Bench,Domain Specific Questions,0.29835117330845207,-0.71336850289082,0.8510358548849745
axis1,PRBench Finance,Domain Specific Questions,0.28878544878245394,-0.25455086772473506,0.7697625604906205
axis1,BioLP-bench,Biology,0.2682528093158689,-1.2493652042464374,1.4723035925719994
axis1,SciCode,Autonomous SWE,0.2678196877074639,-0.41454866268723933,0.6984227080227356
axis1,GPQA Diamond,Domain Specific Questions,0.26617779035717404,-0.7832862779420174,1.2737964263989183
axis1,DeepResearchBench,Agentic Computer Use,0.2621586016429328,-0.3547176239394681,0.7676154307035555
axis1,VPCT,Multimodal Understanding,0.25660535947022933,-0.9296438656282378,1.0545154549502753
axis1,LAB-Bench SeqQA,Biology,0.2474767125718642,-0.6076359873353504,0.9776132438962349
axis1,PRBench Legal,Domain Specific Questions,0.2417638107036966,-0.16091723362811777,0.7842210743884162
axis1,BALROG,General Reasoning,0.23812062340289042,-0.769585105204455,1.0851673945440579
axis1,MMLU Chemistry,Chemistry,0.23021664092391292,-0.39931776793920604,0.894169540266024
axis1,MultiChallenge,Advanced Language and Writing,0.2271969586794036,-0.6779378709622657,0.8423624344414172
axis1,AudioMultiChallenge,Multimodal Understanding,0.2245846582785035,-0.8910402786752791,1.0895485111593612
axis1,CSQA2,General Reasoning,0.21350284156763716,-0.8533021823733843,1.454911808893637
axis1,Lech Mazur Writing,Advanced Language and Writing,0.20646763185483066,-0.8011945978960431,0.8456246289092502
