axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.2409249530726907,-10.19309939525467,11.605665703470843
axis1,ARC-AGI,Core AGI Progress,2.2500929458735786,-6.128142029863792,7.5359167147778505
axis1,VPCT,Multimodal Understanding,1.710897548739569,-9.621240097259678,10.678034765133136
axis1,FrontierMath Tier 4,High End Math Reasoning,1.6550117809495526,-6.1865841265663795,6.54905640530179
axis1,CritPt,Domain Specific Questions,1.222287994148538,-5.595662116549825,6.110602523613656
axis1,TerminalBench,Agentic Computer Use,1.0337689644332222,-3.248994438632849,4.048330737574093
axis1,APEX Agents,Core AGI Progress,0.9878025154867149,-3.9983496214884964,4.543691702821101
axis1,SimpleBench,General Reasoning,0.9607541573518943,-3.1198361224507662,4.590724682490513
axis1,Humanity's Last Exam,Domain Specific Questions,0.936813251755312,-3.3205362588698564,3.9706682512861864
axis1,Aider Polyglot,Autonomous SWE,0.8367816145270097,-3.6311756385414533,4.520764651205385
axis1,Fiction.LiveBench,Advanced Language and Writing,0.8322138271152986,-4.378973521986113,5.0568087548437
axis1,CAD-Eval,Multimodal Understanding,0.8280920939831606,-2.91995198310285,5.178541529331682
axis1,CursorBench,Autonomous SWE,0.8225244844643125,-2.902823854642406,3.29392337184208
axis1,SimpleQA Verified,Domain Specific Questions,0.8193543401491163,-3.867911779755141,4.587708936554591
axis1,GSO-Bench,Autonomous SWE,0.7897392007422969,-3.9055513605874435,4.880859701240692
axis1,CSQA2,General Reasoning,0.781136891845685,-4.809158950007143,5.380054877562075
axis1,FrontierMath,High End Math Reasoning,0.765589573262303,-5.028954351614793,5.41583663553892
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.7575505981727788,-3.4451720392047567,3.9512298323602044
axis1,Cybench,Agentic Computer Use,0.7354541750970085,-5.547893057488876,5.981817017048162
axis1,Chess Puzzles,General Reasoning,0.7177673618074484,-6.733872810499774,6.837577843786457
axis1,EnigmaEval,General Reasoning,0.703000150168835,-3.4553934484287083,3.684688740957646
axis1,VisualToolBench,Multimodal Understanding,0.7004465937910112,-4.5230322194899575,4.165801655018039
axis1,ExploitBench,Agentic Computer Use,0.6872871210405986,-4.8492530706337,4.8830122804430784
axis1,MCP Atlas,Agentic Computer Use,0.6312753693670567,-3.093919984310799,3.8595680215723327
axis1,MultiNRC,Advanced Language and Writing,0.5906321051151275,-2.117044856439478,2.9018577880257213
axis1,Remote Labor Index,Core AGI Progress,0.5192479406146251,-3.8133928736839553,3.9952277080358156
axis1,SWE-Bench Pro,Autonomous SWE,0.5026460608519328,-3.133778917486156,3.9875283197397904
axis1,WeirdML,Autonomous SWE,0.47205970554912324,-2.2195118252649264,2.5455694036994707
axis1,FrontierCode,Autonomous SWE,0.4440457292131357,-4.635619739943406,4.732276331740974
axis1,SWE-Bench Verified,Autonomous SWE,0.4316650857520914,-1.8342060779214933,2.4357992264809427
axis1,PostTrainBench,Autonomous SWE,0.3582779709473592,-2.910462427494926,3.193918798171973
axis1,BALROG,General Reasoning,0.34188194053597293,-2.1138736342619504,2.5379860988610323
axis1,AudioMultiChallenge,Multimodal Understanding,0.3390845121524736,-2.2742459643279904,2.8503334529487443
axis1,METR Time Horizons,Autonomous SWE,0.30747156738096526,-1.4165547704082178,1.8732931305389042
axis1,LiveBench,Core AGI Progress,0.28874973501621415,-2.6336833617167326,3.177090080753856
axis1,MMLU Chemistry,Chemistry,0.27677886828072584,-1.8415321104452411,2.0136486838623955
axis1,CL-Bench Life,Domain Specific Questions,0.26999712244676555,-2.876918003231091,2.8518182047181613
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.2693764533800167,-1.3222867110039698,1.3548486275736749
axis1,DeepResearchBench,Agentic Computer Use,0.2684424409164913,-1.2644110517535279,1.8670237280992465
axis1,MATH Level 5,High End Math Reasoning,0.24671467189883278,-7.064094024532508,7.547626716657814
axis1,GeoBench,Multimodal Understanding,0.2384207870574747,-2.4579621878905895,3.240917823888588
axis1,GPQA Main Chemistry,Chemistry,0.23339557887422768,-5.663285653366856,5.283573417328732
axis1,SciCode,Autonomous SWE,0.2056479023254989,-1.4363264466835182,1.553696960542934
axis1,BioLP-bench,Biology,0.18544621147803161,-4.829497169433939,5.7147467080835215
axis1,MultiChallenge,Advanced Language and Writing,0.17213250077123132,-1.7550726909485406,2.1366555665181854
axis1,OS World 2,Agentic Computer Use,0.16556955852005462,-4.289803805232991,4.533356486394291
axis1,LAB-Bench LitQA2,Biology,0.14747079280652492,-1.5052624164313801,1.4459705452538836
axis1,CL-Bench,Domain Specific Questions,0.14519274317631836,-1.7898532579945647,1.7475204613083406
axis1,MMLU Pro Chemistry,Chemistry,0.13743617899654548,-4.0270412135912785,4.160991042778064
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,0.13298047649148437,-9.316783187127774,9.935581591817696
axis1,Adversarial NLI,General Reasoning,0.13069145602107804,-5.269694401687564,5.5875189817596
axis1,Lech Mazur Writing,Advanced Language and Writing,0.12450267261359602,-1.8145887018905016,1.9964365680489753
axis1,GPQA Diamond,Domain Specific Questions,0.1138056146552657,-4.350653960709086,5.012565433708957
axis1,GPQA Diamond Chemistry,Chemistry,0.11207868685978514,-5.06444112960644,5.252111355713045
axis1,TutorBench,Advanced Language and Writing,0.1115525002187935,-1.0343525271457703,1.2572501634472284
axis1,Video-MME,Multimodal Understanding,0.09571960516038647,-2.716941702251736,2.6681005854744555
axis1,ScienceQA,Domain Specific Questions,0.08169429505507796,-3.7410855566269805,4.3194473987968784
axis1,ForecastBench,General Reasoning,0.08037197348030592,-1.034838957677978,1.096131699238476
axis1,MMLU Biology,Biology,0.06676064969652742,-1.314632312297426,1.301207539952961
axis1,LAB-Bench SeqQA,Biology,0.06427254750428973,-2.648299452944007,2.9573146623313398
axis1,LAMBADA,General Reasoning,0.054120188053023516,-1.6407850040712386,1.6441569170795867
axis1,GPQA Diamond Biology,Biology,0.03352565946100919,-3.146683393326594,3.036479371494342
axis1,The Agent Company,Agentic Computer Use,0.012463913423863271,-5.307340140727583,5.952433144746943
axis1,SEAL Instruction Following,Advanced Language and Writing,0.00951720252506548,-2.6461454925044796,2.7829065159090227
axis1,MMLU Pro Biology,Biology,-0.019271245335628934,-3.1776499271427756,3.406447547302058
axis1,PRBench Legal,Domain Specific Questions,-0.046293571812698976,-2.042898862362617,2.630306224547283
axis1,PRBench Finance,Domain Specific Questions,-0.06992456011956677,-2.390497609583007,2.9904595279850654
axis1,GPQA Main Biology,Biology,-0.08576033456883791,-3.308839783607521,3.388710924722475
axis1,HellaSwag,General Reasoning,-0.1069951715370055,-3.0614846279904255,3.0678960991096123
