axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,Skilled Generalist,-1.0712535880570115,-2.811940164528882,0.7306530462401999,2023-04-14 11:50:23.083716626,2021-11-10 05:15:11.370326028,2025-01-13 04:41:13.642374966,0.9974,1.0,passed_ci
axis1,Average Human,-0.9989514312778789,-2.9556170495960616,0.7834242924960579,2023-06-15 15:15:33.091520287,2021-07-29 20:49:09.168755799,2025-01-12 13:58:53.250964501,0.999975,1.0,passed_ci
axis1,Committee of Skilled Generalists,-0.2566854900039903,-2.443176403186512,2.094827667639096,2023-12-19 06:48:23.744969136,2022-03-04 11:41:28.155545312,2026-02-05 06:52:47.576214033,0.984775,1.0,passed_ci
axis1,Committee of Average Humans,-0.15875260412944084,-2.0914764651031224,1.7839843333595835,2024-02-09 01:47:53.664715982,2022-05-13 15:31:15.768896211,2025-10-27 03:46:19.811727001,0.99505,1.0,passed_ci
axis1,High School Qualifier,0.45231923676658137,-0.05024151204676218,0.970939682913315,2024-08-27 08:17:04.821122679,2024-03-03 01:37:01.156468897,2025-01-23 21:45:04.320008380,0.99995,1.0,passed_ci
axis1,Domain Expert,0.72941203610901,-1.2308381274146163,2.7597969762030754,2024-10-11 22:08:21.984091776,2023-03-24 11:31:11.719337064,2026-07-27 01:12:07.701708942,0.9664625,1.0,passed_mean
axis1,Committee of Domain Experts,0.9959725627632404,-1.2917568923621303,3.227944861201036,2025-01-11 07:52:31.226827581,2023-03-17 03:10:53.186808777,2026-12-21 08:08:34.661913630,0.9471,1.0,passed_mean
axis1,Top Performer,1.0384362076529923,-1.1824093760305203,3.3423124740223265,2025-01-18 14:48:28.609914643,2023-03-25 14:35:39.378805794,2026-12-28 02:43:09.433717320,0.9416625,1.0,passed_mean
axis1,High School Top Performer,1.5650570862502748,0.9067901042690818,2.2872354948510463,2025-07-19 12:11:04.452035876,2025-01-04 19:45:20.764101792,2026-02-16 07:22:48.758074057,0.997375,1.0,passed_ci
axis2,High School Qualifier,0.1422371202066278,-1.6239025658413522,1.913420092520171,2024-09-28 22:55:15.178467181,2022-12-21 20:08:17.532868168,2026-06-08 01:12:54.131726882,0.98015,0.993675,passed_ci
axis2,High School Top Performer,1.169038696761883,-1.0786521988718174,3.3651165861248455,2025-07-10 20:29:29.429503733,2023-07-31 23:34:27.630628118,2027-06-11 16:34:54.266364618,0.876525,0.993675,passed_mean
axis2,Average Human,3.590796733396185,2.5086124028727417,4.755485330613399,2027-03-16 18:48:32.357331901,2026-03-14 08:30:16.110589956,2029-12-14 05:24:46.279173735,0.05965,0.993675,future
axis2,Committee of Average Humans,4.499752283386805,3.2101655499154527,5.8119217621474055,2027-12-02 03:46:51.993518782,2026-09-02 15:57:18.167203045,2030-10-11 20:45:53.815053254,0.0011,0.993675,future
axis2,Skilled Generalist,5.0024201879694,2.9059208105533703,7.365931914385316,2028-03-03 13:29:11.485218229,2026-05-22 10:48:42.571970729,2032-12-26 13:48:24.223065560,0.0076,0.993675,future
axis2,Committee of Skilled Generalists,5.885825987335268,3.186948527926347,8.665305843726259,2028-11-25 15:59:24.497958935,2026-06-08 08:28:25.074409828,2034-02-21 15:10:04.930796000,0.0077875,0.993675,future
axis2,Domain Expert,6.454026553226752,3.9522580100079505,8.994564163764474,2029-05-03 20:58:52.515380936,2026-11-15 23:16:21.568420882,2034-05-11 09:40:17.290796779,0.00425,0.993675,future
axis2,Committee of Domain Experts,7.003541962239667,3.820613756192152,10.05478307950139,2029-10-08 17:39:08.981048658,2026-09-27 01:24:05.534179421,2035-07-03 02:41:43.999648558,0.0060875,0.993675,future
axis2,Top Performer,7.114516815263368,4.0048745378877255,10.072280621450748,2029-11-14 04:30:18.473321894,2026-12-13 15:25:14.253089355,2035-07-06 03:55:26.859984545,0.0047375,0.993675,future
axis3,High School Qualifier,-0.026375153775271866,-1.845067275537736,1.8784081179237642,2021-05-03 23:57:04.605489941,2013-11-11 08:00:35.841612660,2026-07-07 05:49:27.686179493,0.98845,0.9931,passed_ci
axis3,Average Human,0.7617880418066938,-0.7877749937386241,2.122049020466504,2022-12-23 18:45:03.328919942,2017-06-23 02:27:00.397467221,2027-01-14 17:54:48.874222797,0.969325,0.9931,passed_mean
axis3,High School Top Performer,0.7963140114620537,-1.5037250097693173,3.0186592475222542,2023-01-16 02:44:43.598066038,2015-04-05 12:51:37.746937347,2029-06-22 18:55:06.174926339,0.900875,0.9931,passed_mean
axis3,Committee of Average Humans,1.1823393501050075,-0.5931807707649731,2.9213919822091325,2023-11-08 08:22:23.576979293,2018-01-17 05:53:08.694445081,2028-12-29 20:19:29.705801891,0.9216375,0.9931,passed_mean
axis3,Skilled Generalist,3.328905022463402,1.2580336114505113,5.412893852266709,2028-05-09 05:51:22.435071145,2022-04-15 17:36:09.392571515,2037-10-26 11:20:32.858465536,0.1606875,0.9931,future
axis3,Committee of Skilled Generalists,3.892654749276294,1.5446969805527484,6.339689792356202,2029-07-24 19:44:13.275241284,2022-09-19 23:53:21.669850348,2040-11-21 01:43:56.587788891,0.08985,0.9931,future
axis3,Domain Expert,4.032034995028015,1.6566034693321736,6.4048848630786726,2029-10-28 01:51:54.621384338,2023-03-01 11:51:19.319467291,2040-11-17 01:09:38.780984626,0.0634375,0.9931,future
axis3,Top Performer,4.506616733113513,1.955384504466814,7.228966971775187,2030-10-22 00:16:18.152882567,2023-10-01 02:41:19.423575173,2043-08-05 07:37:34.731192639,0.0446125,0.9931,future
axis3,Committee of Domain Experts,4.803827025995731,2.204611684421992,7.582865311387351,2031-06-07 16:45:07.643435653,2023-07-17 15:07:04.652860517,2044-08-20 17:27:21.167636572,0.0350875,0.9931,future
