method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9987325954147105
varimax,wop,axis2,0.9935506215370585
varimax,wop,axis3,0.9942929865019138
varimax,matchalign,axis1,0.9999682109760888
varimax,matchalign,axis2,0.9999775761307673
varimax,matchalign,axis3,0.9999968889325285
varimax,promax,axis1,0.978638893488747
varimax,promax,axis2,0.9994940527776662
varimax,promax,axis3,0.9975571664643406
wop,matchalign,axis1,0.9990469227148167
wop,matchalign,axis2,0.9941653655952526
wop,matchalign,axis3,0.9944758143274998
wop,promax,axis1,0.9679039131773399
wop,promax,axis2,0.9965067432237636
wop,promax,axis3,0.9909628644004482
matchalign,promax,axis1,0.9769842388595517
matchalign,promax,axis2,0.9996722074055844
matchalign,promax,axis3,0.9974172808730724
