axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.1670838522575284,2.2471730424052754,3.669978610949021
axis1,VPCT,Multimodal Understanding,2.4230929339423035,1.2022742414620862,3.5439362414613638
axis1,ARC-AGI,Core AGI Progress,2.2847959772561026,1.5978328746285564,2.67343892192093
axis1,FrontierMath v1,High End Math Reasoning,1.911488014805272,1.1102705577077678,2.478570555684022
axis1,Aider Polyglot,Autonomous SWE,1.871039590397979,0.9286980334781483,2.2739168690280853
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.786926072407906,0.3972428997853346,2.8862197744798666
axis1,FrontierMath Tier 4,High End Math Reasoning,1.7854027122764564,0.7263575383480572,3.014480560319492
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.6941204104180239,1.027770152327678,2.5166599475463265
axis1,SCONE-Bench,Agentic Computer Use,1.6530147698241766,0.45128318436079995,2.5565544485179865
axis1,DeepSWE,Autonomous SWE,1.6452788973553587,0.9741410029682822,2.2741144925251637
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.5390489354349455,0.07854921179821753,2.6284224300048598
axis1,CritPt,Domain Specific Questions,1.5365118145757644,0.8835034635331185,1.9998343462216253
axis1,GSO-Bench,Autonomous SWE,1.5179595441998597,0.3845081328363386,2.169224518875432
axis1,MATH Level 5,High End Math Reasoning,1.4951042390922635,0.4273516726105396,2.1820548849550683
axis1,TerminalBench,Agentic Computer Use,1.4418991932158178,0.8396917337751294,1.7740434639998306
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,1.4205154033137402,0.5315307555764787,1.9278098653783313
axis1,Cybench,Agentic Computer Use,1.3619362536267476,0.6267302192174293,2.136044261396677
axis1,Fiction.LiveBench,Advanced Language and Writing,1.3319812695987643,0.5422005627654755,1.984828656080364
axis1,SimpleBench,General Reasoning,1.3140419078871068,0.7166703726618808,1.6765620717550092
axis1,APEX Agents,Core AGI Progress,1.3050511640194218,0.8486389318150872,1.6786638481774052
axis1,The Agent Company,Agentic Computer Use,1.2803384092144325,0.35681609546235127,1.8237710439466137
axis1,FrontierMath,High End Math Reasoning,1.2541099703416176,0.5388482445553807,1.9792110365456617
axis1,GPQA Diamond Chemistry,Chemistry,1.221525745255931,0.38815429148592234,1.8596418090954356
axis1,VisualToolBench,Multimodal Understanding,1.215204777502666,0.6077057577495767,1.6072784455813875
axis1,ProofBench,High End Math Reasoning,1.1760382702899623,0.3497443539228593,2.298600837960385
axis1,EnigmaEval,General Reasoning,1.1738360276178632,0.5076476839068481,1.5711026023154147
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.1659134892689726,0.37099868787834145,1.6975944726994818
axis1,Surface Evolver Bench,Autonomous SWE,1.1432200015590888,0.285950688870316,1.8232672638385912
axis1,CAD-Eval,Multimodal Understanding,1.1395563249071206,0.3815721394574021,1.733814498070711
axis1,Humanity's Last Exam,Domain Specific Questions,1.1298533387854697,0.5868190153529333,1.4613806647629222
axis1,GPQA Main Chemistry,Chemistry,1.096737624847271,0.2288159351228463,1.7575246896928602
axis1,MultiNRC,Advanced Language and Writing,1.0716844974384228,0.49633615592378266,1.3357536177822567
axis1,GPQA Diamond,Domain Specific Questions,1.0368656575868074,0.281502924124778,1.457117719897841
axis1,SimpleQA Verified,Domain Specific Questions,1.03235909776236,0.22515259957744413,1.5361047197373165
axis1,MCP Atlas,Agentic Computer Use,1.005431418591833,0.37259538477918475,1.403011753315739
axis1,GDPval,Core AGI Progress,0.9544485927471693,0.09391757850725187,1.5592602512771399
axis1,BioLP-bench,Biology,0.9525940306196456,0.2344014497286718,1.4896593424841387
axis1,CursorBench,Autonomous SWE,0.9068812301894817,0.5671266662298659,1.2160744855910792
axis1,Chess Puzzles,General Reasoning,0.8722851908869744,0.027501073864065046,1.6984150538874891
axis1,OpenAI Cyber Ranges,Agentic Computer Use,0.8699213057792945,-0.43085181250093557,2.250652851714014
axis1,WeirdML,Autonomous SWE,0.8572785511013732,0.6023626651767964,0.9997963372445351
axis1,SWE-Bench Pro,Autonomous SWE,0.7529727923522825,0.11947316101772228,1.1669265575928014
axis1,METR Time Horizons,Autonomous SWE,0.7486995922907396,0.30796616424697076,0.929492031734322
axis1,LiveBench,Core AGI Progress,0.7474189599722663,0.09027396120430309,0.9458849183981017
