axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.1687289150081,2.3622361373341256,3.756575361385735
axis1,VPCT,Multimodal Understanding,2.5988949643646446,1.4065296169419397,4.900334688265546
axis1,ARC-AGI,Core AGI Progress,2.3481123669908963,1.7479355952241773,2.7809986600437844
axis1,FrontierMath v1,High End Math Reasoning,2.0665930862299264,1.080192774959944,2.599754598619286
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.0207200719026015,0.6096759481388508,2.886922318923231
axis1,Aider Polyglot,Autonomous SWE,1.9410679084431621,1.2881728685547096,2.3795013968313596
axis1,FrontierMath Tier 4,High End Math Reasoning,1.8736545412851666,0.6693333810492685,2.8914826508725886
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.7463398026489558,0.9488617633862327,2.3215220155224974
axis1,MATH Level 5,High End Math Reasoning,1.7325326512665773,0.7437290752384245,2.2973786911536553
axis1,DeepSWE,Autonomous SWE,1.7164809594888224,0.9866693185931992,2.3224253064930527
axis1,SCONE-Bench,Agentic Computer Use,1.6934168473856064,0.7002110305150618,2.581059862618191
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.6013247330287101,0.08311369129798722,2.730853551199377
axis1,CritPt,Domain Specific Questions,1.5813588301247208,0.9020566546254457,2.044984227506876
axis1,SWE-Bench Verified,Autonomous SWE,1.4464777350418943,0.5680797258833141,2.2777770972219566
axis1,TerminalBench,Agentic Computer Use,1.4258938338743992,0.9022075481359363,1.7457253797890717
axis1,GSO-Bench,Autonomous SWE,1.407275668340977,0.5508912965223018,2.009323554592745
axis1,Fiction.LiveBench,Advanced Language and Writing,1.4065125715553128,0.7002492831264286,2.0965736534922095
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,1.4017951084242348,0.6429277543383743,1.900587733258511
axis1,Cybench,Agentic Computer Use,1.391623075277514,0.7498477297134789,1.9086121482792073
axis1,The Agent Company,Agentic Computer Use,1.3590030373034052,0.6745537792566553,1.9773124519145209
axis1,APEX Agents,Core AGI Progress,1.353721198032197,0.9144147174968227,1.7769308814535272
axis1,FrontierMath,High End Math Reasoning,1.3319223668972242,0.5053181713274894,1.963519533235219
axis1,SimpleBench,General Reasoning,1.2936082069599433,0.8312545323520198,1.6471369118774646
axis1,VisualToolBench,Multimodal Understanding,1.2838686494992428,0.7223375471794207,1.6809744325678793
axis1,GPQA Diamond Chemistry,Chemistry,1.2381400496888884,0.40020633135641365,1.9296890541942813
axis1,EnigmaEval,General Reasoning,1.212730716832957,0.7171883256210926,1.6732686733113253
axis1,GPQA Diamond,Domain Specific Questions,1.2002826215164157,0.5296605155905729,1.5932390849363474
axis1,CAD-Eval,Multimodal Understanding,1.1893861752662591,0.5533883647401612,1.8176342078483225
axis1,Humanity's Last Exam,Domain Specific Questions,1.1762613157304451,0.6804353208940067,1.4706335869742722
axis1,ProofBench,High End Math Reasoning,1.1559550665155578,0.33206489979001025,1.6950552815264341
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.1477251236646393,0.5191109715599966,1.5976096052714994
axis1,BioLP-bench,Biology,1.116586877701965,0.4757382849001833,1.5857315922812778
axis1,MultiNRC,Advanced Language and Writing,1.101852004751898,0.756690853534777,1.3760111685428884
axis1,MCP Atlas,Agentic Computer Use,1.0996823570239562,0.5419143599699803,1.7244364557781748
axis1,GPQA Main Chemistry,Chemistry,1.082355625573871,0.15048302334806585,1.9493691722876239
axis1,Surface Evolver Bench,Autonomous SWE,1.0704173170626716,0.2573011726036229,1.7175179920314432
axis1,SimpleQA Verified,Domain Specific Questions,1.0695438227407936,0.5507991298862122,1.5700681089424127
axis1,Chess Puzzles,General Reasoning,0.9727553163097358,0.09398488141809384,1.6457318097489892
axis1,GDPval,Core AGI Progress,0.9337666358487766,0.20712802344580283,1.5332903719179634
axis1,CursorBench,Autonomous SWE,0.9311920157868738,0.5645666462595902,1.2420829121442563
axis1,WeirdML,Autonomous SWE,0.8616629849706534,0.5463073901221184,0.9977020857348178
axis1,LiveBench,Core AGI Progress,0.8174350563575719,0.5109691513913409,1.048608161354222
axis1,OpenAI Cyber Ranges,Agentic Computer Use,0.807079678076726,-0.7682959340785235,2.1910153082982577
axis1,METR Time Horizons,Autonomous SWE,0.7850437280913156,0.466806231184524,0.9950800310915068
axis1,SWE-Bench Pro,Autonomous SWE,0.7450833154970705,0.2318155080559464,1.1064194689487659
axis1,LAB-Bench SeqQA,Biology,0.726511598960317,0.37342083908295437,1.0011450721881003
axis1,MMLU Pro Chemistry,Chemistry,0.710716555276462,0.02474188134109407,1.31319704404935
axis1,WMDP Biology,Biology,0.6977394496593524,-0.20948122126259544,1.7486893416510088
axis1,PostTrainBench,Autonomous SWE,0.6894355952950664,0.22369794869963694,1.1158774442187638
axis1,GPQA Main Biology,Biology,0.6137420036781134,0.07804046332271068,1.0781814169440005
axis1,BALROG,General Reasoning,0.6107806458626961,0.23847061957389606,0.9388275709347983
axis1,GDP.pdf,Core AGI Progress,0.5975985218787254,-0.25296269464636645,1.2374736116202292
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.5847977720730333,0.2781518575208885,0.8642988085145792
axis1,SpatialViz-Bench,Multimodal Understanding,0.5804198237023719,-0.1540194100051845,1.3761886569145583
axis1,BlueprintBench 2,Multimodal Understanding,0.5651145544784351,-0.4585188218931918,1.4868643360493339
axis1,AudioMultiChallenge,Multimodal Understanding,0.5590065747740245,0.06954018338195449,0.9511938904593782
