axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.6496901010753549,-1.8997033589444037,3.0402682457272725
axis1,MATH Level 5,High End Math Reasoning,1.3783524380556353,-1.5047405541044503,2.5537310599294822
axis1,FrontierMath Tier 4,High End Math Reasoning,0.9970409563558003,-1.1013684399284862,2.155285982901071
axis1,Cybench,Agentic Computer Use,0.988746754077477,-1.0434404267207467,1.90580787548786
axis1,GSO-Bench,Autonomous SWE,0.9746784102946388,-0.9123813611977605,1.6038434677982756
axis1,Aider Polyglot,Autonomous SWE,0.9423096328757643,-0.19101889129800528,2.0277247586010914
axis1,Chess Puzzles,General Reasoning,0.8906462762290099,-1.7217528176611254,2.071908001046508
axis1,VisualToolBench,Multimodal Understanding,0.8854507106580034,-0.4329140727675844,1.6170433314198047
axis1,CAD-Eval,Multimodal Understanding,0.8655853804432749,-0.36964002074291696,1.6742688434971715
axis1,Fiction.LiveBench,Advanced Language and Writing,0.8625143663789967,-0.43412690592594333,1.943667252285103
axis1,ARC-AGI,Core AGI Progress,0.8416775691702221,-0.7728647596355145,2.650158402561802
axis1,BioLP-bench,Biology,0.8230472283892534,-0.8441083802159456,1.7137358915152385
axis1,SimpleQA Verified,Domain Specific Questions,0.8216813033290755,-0.6596131913188301,1.613531187544814
axis1,EnigmaEval,General Reasoning,0.8072129664935623,-0.39166930640137987,1.5631520928416036
axis1,ARC-AGI-2,Core AGI Progress,0.7249085621285187,-1.25985459632357,3.732654167861629
axis1,MultiNRC,Advanced Language and Writing,0.7112860505573344,-0.14672648303774502,1.3223549802904033
axis1,The Agent Company,Agentic Computer Use,0.7031809517073416,-0.6778291618975335,1.8325528496699088
axis1,CritPt,Domain Specific Questions,0.6954852761706085,-1.071409684760228,2.116372544620012
axis1,Humanity's Last Exam,Domain Specific Questions,0.6799920829708224,-0.5111708860258446,1.474103154949074
axis1,LiveBench,Core AGI Progress,0.6640782662807857,-0.5852910760145628,1.152531142093461
axis1,FrontierMath,High End Math Reasoning,0.6327024899112612,-0.7446716529308499,1.8566647208429472
axis1,TerminalBench,Agentic Computer Use,0.6093923846725975,-0.3000463172678209,1.6179574990100833
