benchmark,axis,category,gate_median,hdi_low,hdi_high,survived
WeirdML,Agentic,Autonomous SWE,1.8739647354611275,8.55233550288611e-05,9.5972162053644,True
Aider Polyglot,Agentic,Autonomous SWE,1.0029598947030944,1.7695516574796345e-05,10.167246552048182,True
MATH Level 5,Agentic,High End Math Reasoning,0.9244262322487493,1.7969520476101193e-05,3.6728202687443265,True
OTIS Mock AIME 2024-2025,Agentic,High End Math Reasoning,0.6045102539998405,1.13118359202631e-06,3.208060843236185,True
WMDP Biology,Agentic,Biology,0.6036776131767769,1.748790277612303e-05,3.286165658880337,True
BioLP-bench,Agentic,Biology,0.5723868151991556,8.773778885473774e-06,1.4696435547916635,True
SimpleQA Verified,Agentic,Domain Specific Questions,0.5268257696695173,0.000731785388599695,2.3159131475763988,True
MMLU Pro Chemistry,Agentic,Chemistry,0.5086622232616547,0.002344787993079891,1.8391156838517593,True
The Agent Company,Agentic,Agentic Computer Use,0.4967514408547773,1.828495667807851e-05,2.30225076813646,True
HellaSwag,Agentic,General Reasoning,0.47893941314238797,5.110196564105821e-05,4.406998795820758,True
Chess Puzzles,Agentic,General Reasoning,0.44958893966519886,3.80143141310335e-05,1.3873628229313795,True
VisualToolBench,Agentic,Multimodal Understanding,0.4295035491834149,1.9644555758860763e-05,1.4025505619985044,True
SimpleBench,Agentic,General Reasoning,0.4206483353486591,2.919992694165455e-06,1.5177816483237359,True
SEAL Tool Use (Enterprise),Agentic,Agentic Computer Use,0.4192668112689746,6.137530477383149e-05,3.3757475802727748,True
METR Time Horizons,Agentic,Autonomous SWE,0.412253927061384,1.7153318111549858e-05,2.202562797826313,True
EnigmaEval,Agentic,General Reasoning,0.3923916797464976,0.002355470773394095,1.3205815111384631,True
GPQA Diamond,Agentic,Domain Specific Questions,0.38955093226832094,0.0002674306306199503,3.0893364821991587,True
CAD-Eval,Agentic,Multimodal Understanding,0.3776387707796016,5.025317273260882e-06,2.057177897311355,True
Cybench,Agentic,Agentic Computer Use,0.374800926846391,4.635495738480243e-06,1.651750018488471,True
MMLU Pro Biology,Agentic,Biology,0.35471523230341306,0.0066007667365084064,2.81958507282519,True
MultiNRC,Agentic,Advanced Language and Writing,0.3449034271758858,0.05640427188626206,1.749419724126497,True
SWE-Bench Pro (Private),Agentic,Autonomous SWE,0.33352885701450397,2.9080654899302305e-05,1.4786570464069562,True
AudioMultiChallenge,Agentic,Multimodal Understanding,0.3057113023713397,3.4387184271232165e-05,1.0580631772432825,True
PostTrainBench,Agentic,Autonomous SWE,0.3032486784564322,0.00011377025346924637,1.2191256112770097,True
GSO-Bench,Agentic,Autonomous SWE,0.29135554330405455,6.536477211997316e-05,1.7575959249876756,True
GPQA Diamond Chemistry,Agentic,Chemistry,0.29050719959514776,1.5389941776077172e-05,2.606978080069359,True
GPQA Main Chemistry,Agentic,Chemistry,0.2735977614107109,6.0572018914365315e-06,0.9506262334201755,True
SWE-Bench Pro,Agentic,Autonomous SWE,0.2652266751129937,1.7869775471486983e-05,1.348742090976432,True
VPCT,Agentic,Multimodal Understanding,0.25741224639620364,5.228413241266307e-05,1.6833818435026375,True
